x-axis,y-axis,z-axis,|time
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.1914538219999713
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.1918128819999083
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.19224011899996185
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.19273865799993928
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.19324662399992576
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1936771939999744
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.19418495200000052
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1946800529999564
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.19522775799998726
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.19575671299992337
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1963475950000202
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1969144149999238
-0.612915625|,-6.282385156249999,-7.048529687499999,|0.1974195159999681
-0.612915625|,-6.282385156249999,-7.048529687499999,|0.19789998199996717
-0.612915625|,-6.282385156249999,-7.048529687499999,|0.19846112400000493
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.19895601700000043
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1994200770000134
-0.612915625|,-6.282385156249999,-7.048529687499999,|0.19996736600000986
-0.612915625|,-6.282385156249999,-7.048529687499999,|0.20053684099991642
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20099340100000518
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20141490899993642
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20188396899993677
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.20243052799992256
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.20297370200000842
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.20349500099996476
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.20408624799995323
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.20459025499997097
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20501723199993194
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20538327099995968
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20573889399997825
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20609133999994356
-0.612915625|,-6.4356140625,-7.048529687499999,|0.20644592099995407
-0.612915625|,-6.4356140625,-7.048529687499999,|0.2068002419999857
-0.612915625|,-6.4356140625,-7.201758593749999,|0.2071520109999483
-0.7661445312499999|,-6.4356140625,-7.201758593749999,|0.2075107590000016
-0.7661445312499999|,-6.4356140625,-7.201758593749999,|0.20786627799998314
-0.7661445312499999|,-6.4356140625,-7.201758593749999,|0.20826695199991718
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.20873288699999648
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.20930621699994845
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.2098669429999518
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.21040329400000246
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.21085641599995597
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.21127724699999817
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.21169063000002097
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.2121004709999852
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.2125445829999535
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.21296431999996912
-0.612915625|,-6.4356140625,-7.048529687499999,|0.2133784330000026
-0.612915625|,-6.4356140625,-7.048529687499999,|0.2138366589999805
-0.612915625|,-6.4356140625,-7.048529687499999,|0.21438957299994854
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.21491061099993658
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.21540769199998522
-0.612915625|,-6.4356140625,-7.201758593749999,|0.2159061779999547
-0.612915625|,-6.4356140625,-7.201758593749999,|0.21642159199996058
-0.612915625|,-6.4356140625,-7.201758593749999,|0.21686440199994195
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.2172803369999201
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.21769564699991406
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.2181050189999496
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.21856527699992512
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.21912949299996853
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.2196490729999141
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.22013183100000333
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.22065338999993855
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.22114015799991193
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.22157057200001873
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.22198671499995726
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.22240369199994348
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.22281780399998752
-0.612915625|,-6.4356140625,-7.201758593749999,|0.22328144699997665
-0.612915625|,-6.4356140625,-7.201758593749999,|0.22381383999993432
-0.612915625|,-6.4356140625,-7.201758593749999,|0.22440477399993597
-0.612915625|,-6.4356140625,-7.201758593749999,|0.22494003099996007
-0.612915625|,-6.4356140625,-7.048529687499999,|0.22568033999993986
-0.612915625|,-6.4356140625,-7.048529687499999,|0.22623616999999285
-0.612915625|,-6.4356140625,-7.048529687499999,|0.2267135629999757
-0.612915625|,-6.4356140625,-6.89530078125,|0.22713559099997838
-0.612915625|,-6.4356140625,-6.89530078125,|0.22755236000000423
-0.612915625|,-6.4356140625,-6.89530078125,|0.22796256599997378
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.22841589600000134
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.2288834459999407
-0.612915625|,-6.4356140625,-6.89530078125,|0.22944266100000732
-0.612915625|,-6.4356140625,-6.89530078125,|0.229969116999996
-0.612915625|,-6.4356140625,-6.89530078125,|0.2304597909999302
